,name,rating,review_count,type,how_old,hq,employees
0,TCS,3.9,(50k Reviews),Public,55 years old,"Mumbai,Maharashtra + 268 more",55 years old
1,Accenture,4.1,(32.1k Reviews),Public,34 years old,Dublin + 131 more,34 years old
2,Cognizant,4.0,(29.5k Reviews),Private,29 years old,Teaneck. New Jersey. + 101 more,29 years old
3,ICICI Bank,4.0,(33.4k Reviews),Public,29 years old,"Mumbai,Maharashtra + 1055 more",29 years old
4,HDFC Bank,4.0,(39k Reviews),Public,29 years old,"Mumbai,Maharashtra + 1235 more",29 years old
5,Wipro,3.9,(28.6k Reviews),Public,78 years old,"Bangalore/Bengaluru,Karnataka + 223 more",78 years old
6,Infosys,3.9,(28.1k Reviews),Public,42 years old,"Bengaluru/Bangalore,Karnataka + 124 more",42 years old
7,Capgemini,3.9,(23.8k Reviews),Public,56 years old,Paris + 79 more,56 years old
8,Tech Mahindra,3.7,(21.4k Reviews),Public,37 years old,"Pune,Maharashtra + 210 more",37 years old
9,Genpact,4.0,(19.2k Reviews),Public,26 years old,"New York,New York + 67 more",26 years old
10,HCLTech,3.8,(18.3k Reviews),Public,32 years old,Noida + 141 more,32 years old
11,Amazon,4.3,(18.3k Reviews),Public,29 years old,"Seattle,Washington + 374 more",29 years old
12,Axis Bank,3.9,(18.4k Reviews),Public,30 years old,"Mumbai,Maharashtra + 1091 more",30 years old
13,IBM,4.2,(15.2k Reviews),Public,112 years old,"Armonk,New York + 118 more",112 years old
14,Concentrix Corpo...,4.0,(14.9k Reviews),Public,40 years old,"Fremont,California + 70 more",40 years old
15,Reliance jio,4.0,(14.5k Reviews),Public,16 years old,"Navi Mumbai,Maharashtra + 984 more",16 years old
16,Larsen & Toubro ...,4.1,(24k Reviews),Public,77 years old,"Mumbai,Maharashtra + 522 more",77 years old
17,HDB Financial Se...,4.0,(13.3k Reviews),Private,16 years old,"Ahmedabad,Gujrat + 789 more",16 years old
18,Vodafone Idea,4.2,(13.1k Reviews),Public,5 years old,"Gandhinagar,Gujrat + 563 more",5 years old
19,Teleperformance,3.6,(14.3k Reviews),Private,45 years old,Paris + 122 more,45 years old
20,Kotak Mahindra B...,3.9,(13.3k Reviews),Public,20 years old,"Mumbai,Maharashtra + 471 more",20 years old
21,Reliance Retail,4.1,(16.2k Reviews),Private,17 years old,"Navi Mumbai,Maharashtra + 688 more",17 years old
22,Deloitte,4.1,(10.2k Reviews),Private,178 years old,"New York,New York + 129 more",178 years old
23,Reliance Industr...,4.1,(43.5k Reviews),Public,50 years old,"Navi Mumbai,Maharashtra + 498 more",50 years old
24,Bharti Airtel,4.1,(12.3k Reviews),Public,28 years old,"Gurgaon/Gurugram,Haryana + 518 more",28 years old
25,Tata Motors,4.1,(11.8k Reviews),Public,78 years old,"Pune,Maharashtra + 383 more",78 years old
26,BYJU'S,3.5,(12.7k Reviews),Private,12 years old,"Bangalore,Karnataka + 251 more",12 years old
27,Flipkart,4.2,(11.4k Reviews),Public,16 years old,"Bangalore,Karnataka + 443 more",16 years old
28,WNS,3.7,(6.9k Reviews),Private,27 years old,"Mumbai,Maharashtra + 24 more",27 years old
29,Mahindra & Mahin...,3.9,(38.7k Reviews),Public,78 years old,"Mumbai,Maharashtra + 416 more",78 years old
30,IndusInd Bank,3.8,(6.6k Reviews),Public,29 years old,"Gurgaon/Gurugram,Haryana + 555 more",29 years old
31,Ernst & Young,3.8,(6.2k Reviews),Private,21 years old,London + 72 more,21 years old
32,DXC Technology,3.9,(7k Reviews),Public,6 years old,"Minato,Tokyo + 56 more",6 years old
33,Hinduja Global S...,4.0,(6k Reviews),Public,23 years old,"Bangalore/Bengaluru,Karnataka + 72 more",23 years old
34,Infosys BPM,4.0,(5.8k Reviews),"Bangalore/Bengaluru,Karnataka + 49 more",10k-50k Employees (India),21 years old,10k-50k Employees (India)
35,Maruti Suzuki,4.2,(5.8k Reviews),Public,40 years old,"New Delhi,Delhi + 368 more",40 years old
36,IDFC FIRST Bank,4.0,(5.3k Reviews),Public,5 years old,"Mumbai,Maharashtra + 406 more",5 years old
37,HSBC,4.1,(5.7k Reviews),Private,21 years old,"Pune,Maharashtra + 52 more",21 years old
38,Bajaj Finserv,4.0,(5.2k Reviews),Public,16 years old,"Pune,Maharashtra + 670 more",16 years old
39,Ericsson,4.3,(5.3k Reviews),Private,147 years old,"Stockholm,Stockholm County + 129 more",147 years old
40,Conneqt Business...,3.7,(5.1k Reviews),Private,21 years old,"Mumbai,Maharashtra + 163 more",21 years old
41,Mphasis,3.7,(4.8k Reviews),Public,25 years old,"Bangalore/Bengaluru,Karnataka + 37 more",25 years old
42,Startek,3.4,(4.8k Reviews),Public,6 years old,"Mumbai,Maharashtra + 51 more",6 years old
43,Dr. Reddy's,4.2,(4.8k Reviews),Public,37 years old,"Hyderabad/Secunderabad,Telangana + 132 more",37 years old
44,Sutherland Globa...,3.8,(5k Reviews),Private,37 years old,"Pittsford,New York + 41 more",37 years old
45,Cipla Pharmaceut...,4.1,(4.7k Reviews),Public,88 years old,"Mumbai,Maharashtra + 187 more",88 years old
46,Yes Bank,4.0,(4.5k Reviews),Public,19 years old,"Mumbai,Maharashtra + 357 more",19 years old
47,Jana Small Finan...,3.8,(4.5k Reviews),Public,17 years old,"Bangalore/Bengaluru,Karnataka + 314 more",17 years old
48,Udaan,4.1,(4.4k Reviews),Private,7 years old,"Bangalore,Karnataka + 314 more",7 years old
49,Asian Paints,4.2,(4.6k Reviews),Public,81 years old,"Mumbai,Maharashtra + 342 more",81 years old
50,NTT DATA,4.0,(4.6k Reviews),Private,35 years old,"Chiyoda City,Tokyo + 40 more",35 years old
51,ICICI Prudential...,4.1,(4.3k Reviews),Public,23 years old,"Mumbai,Maharashtra + 396 more",23 years old
52,HDFC Life,4.1,(5.5k Reviews),Public,23 years old,"Mumbai,Maharashtra + 407 more",23 years old
53,Lupin,4.1,(4.3k Reviews),Public,55 years old,"Mumbai,Maharashtra + 129 more",55 years old
54,HCL Group,3.8,(24k Reviews),Chennai + 68 more,,50k-1 Lakh Employees (India),
55,PwC,3.8,(4.2k Reviews),Partnership,25 years old,London + 63 more,25 years old
56,EXL Service,3.9,(5.2k Reviews),Private,24 years old,"New York City,New York + 32 more",24 years old
57,iEnergizer,4.2,(4k Reviews),Private,23 years old,"Noida,Uttar Pradesh + 15 more",23 years old
58,L&T Infotech,3.8,(4k Reviews),Public,27 years old,"Mumbai,Maharashtra + 66 more",27 years old
59,Indian Army,4.7,(4k Reviews),Public,128 years old,"New Delhi,Delhi + 267 more",128 years old
60,UltraTech Cement,4.2,(4.5k Reviews),Public,40 years old,"Mumbai,Maharashtra + 345 more",40 years old
61,Bajaj Finance,4.1,(4.4k Reviews),Private,36 years old,"Pune,Maharashtra + 622 more",36 years old
62,Home Credit Fina...,4.2,(3.8k Reviews),Private,11 years old,Gurugram + 100 more,11 years old
63,Mindtree,4.1,(3.8k Reviews),Public,24 years old,"Bangalore/Bengaluru,Karnataka + 26 more",24 years old
64,KPMG,3.8,(3.9k Reviews),Partnership,36 years old,Bengaluru/Bangalore + 55 more,36 years old
65,Paytm,3.7,(4.4k Reviews),Public,13 years old,Noida + 234 more,13 years old
66,Hindustan Unilev...,4.3,(4.3k Reviews),Public,90 years old,"Mumbai,Maharashtra + 355 more",90 years old
67,ITC,3.9,(7k Reviews),Public,48 years old,"Kolkata,West Bengal + 239 more",48 years old
68,Ujjivan Small Fi...,4.1,(3.6k Reviews),Public,6 years old,"Bangalore/Bengaluru,Karnataka + 378 more",6 years old
69,IIFL,3.9,(3.5k Reviews),Public,28 years old,"Mumbai,Maharashtra + 496 more",28 years old
70,OPPO,4.0,(3.7k Reviews),Public,19 years old,"Dongguan,Guangdong + 324 more",19 years old
71,JP Morgan Chase,4.2,(3.5k Reviews),Private,23 years old,"New York,New York + 19 more",23 years old
72,Bandhan Bank,3.9,(3.6k Reviews),Public,22 years old,"Kolkata,West Bengal + 557 more",22 years old
73,Zydus Cadila,4.2,(4.5k Reviews),Public,71 years old,"Ahmedabad, India + 117 more",71 years old
74,Wells Fargo Indi...,4.2,(3.5k Reviews),Public,171 years old,"San Francisco,California + 11 more",171 years old
75,Delhivery,4.2,(3.8k Reviews),Private,12 years old,"Delhi,NCT + 473 more",12 years old
76,Shriram Transpor...,4.2,(3.8k Reviews),Public,44 years old,"Mumbai,Maharashtra + 678 more",44 years old
77,Shapoorji Pallon...,4.3,(6.5k Reviews),Private,158 years old,"Mumbai,Maharashtra + 133 more",158 years old
78,Sun Pharmaceutic...,4.1,(3.9k Reviews),Public,40 years old,Mumbai + 155 more,40 years old
79,Ashok Leyland,4.1,(3.4k Reviews),Public,75 years old,"Chennai,Tamil Nadu + 185 more",75 years old
80,Aurobindo Pharma,4.0,(3.6k Reviews),Public,37 years old,"Hyderabad/Secunderabad,Telangana + 50 more",37 years old
81,Vivo,4.1,(3.3k Reviews),Private,14 years old,"Gurgaon/Gurugram,Haryana + 325 more",14 years old
82,Mahindra & Mahin...,4.3,(4.8k Reviews),Public,32 years old,"Mumbai,Maharashtra + 564 more",32 years old
83,AU Small Finance...,4.0,(4.3k Reviews),Private,27 years old,"Jaipur,Rajasthan + 295 more",27 years old
84,Apollo Hospitals,4.1,(5.3k Reviews),Public,40 years old,"San Francisco,California + 159 more",40 years old
85,Hewlett-Packard ...,4.3,(3.5k Reviews),Private,8 years old,"Houston,Texas + 84 more",8 years old
86,Siemens,4.2,(4.8k Reviews),Public,176 years old,"Munich,Bavaria + 99 more",176 years old
87,Nokia,4.2,(4.5k Reviews),Private,158 years old,"Espoo,Southern Finland + 169 more",158 years old
88,eClerx,3.6,(3.1k Reviews),Public,23 years old,"Mumbai,Maharashtra + 15 more",23 years old
89,Max Life Insuran...,4.2,(3.1k Reviews),JV,23 years old,"Gurgaon/Gurugram,Haryana + 300 more",23 years old
90,First Source,3.9,(3.1k Reviews),Public,22 years old,"Mumbai,Maharashtra + 45 more",22 years old
91,Hexaware Technol...,3.7,(3.2k Reviews),Public,33 years old,"Mumbai,Maharashtra + 31 more",33 years old
92,TATA Steel,4.1,(4.7k Reviews),Public,116 years old,"Mumbai,Maharashtra + 122 more",116 years old
93,Intelenet Global...,3.7,(3.1k Reviews),Private,23 years old,"Mumbai,Maharashtra + 55 more",23 years old
94,JSW Steel,3.9,(3.3k Reviews),Public,41 years old,"Mumbai,Maharashtra + 95 more",41 years old
95,Oracle,3.9,(3.8k Reviews),Public,46 years old,"Austin,Texas + 32 more",46 years old
96,Reliance Communi...,4.0,(3.7k Reviews),Public,21 years old,"Navi Mumbai,Maharashtra + 368 more",21 years old
97,Future Group,4.2,(9.6k Reviews),Private,10 years old,"Mumbai,Maharashtra + 196 more",10 years old
98,Quess,3.9,(9.1k Reviews),Public,16 years old,Bangalore + 349 more,16 years old
99,Tata Projects,4.2,(3.1k Reviews),Public,44 years old,"Mumbai,Maharashtra + 201 more",44 years old
100,JLL,4.3,(3k Reviews),Private,26 years old,"Mumbai,Maharashtra + 59 more",26 years old
101,Fidelity Nationa...,4.1,(3.1k Reviews),Private,55 years old,"Jacksonville,Florida + 29 more",55 years old
102,Hero MotoCorp,4.2,(3.1k Reviews),Public,39 years old,"Gurgaon/Gurugram,Haryana + 261 more",39 years old
103,TVS Motor,4.1,(4.4k Reviews),Public,44 years old,"Chennai,Tamil Nadu + 239 more",44 years old
104,JustDial,3.6,(2.9k Reviews),Public,27 years old,"Mumbai,Maharashtra + 133 more",27 years old
105,Cyient,3.7,(2.9k Reviews),Public,32 years old,"Hyderabad/Secunderabad,Telangana + 25 more",32 years old
106,Oyo Rooms,3.5,(3k Reviews),Private,10 years old,"Gurgaon,Haryana + 104 more",10 years old
107,Hyundai Motor,4.2,(3.9k Reviews),Private,56 years old,Seoul + 227 more,56 years old
108,Bajaj Allianz Li...,4.1,(2.9k Reviews),Private,22 years old,Pune + 413 more,22 years old
109,Wipro BPS,3.8,(2.8k Reviews),Bengaluru + 34 more,1 Lakh+ Employees (India),23 years old,1 Lakh+ Employees (India)
110,Bosch,4.2,(6.2k Reviews),Public,137 years old,"Gerlingen,Baden-Wuerttemberg + 82 more",137 years old
111,Megha Engineerin...,4.1,(2.7k Reviews),Private,34 years old,"Hyderabad/Secunderabad,Telangana + 206 more",34 years old
112,Omega Healthcare,3.8,(2.7k Reviews),Private,19 years old,Florida + 29 more,19 years old
113,L&T Construction,4.2,(3.6k Reviews),Public,79 years old,Chennai + 266 more,79 years old
114,Atos Syntel,3.7,(4.4k Reviews),Private,43 years old,"Troy,Michigan + 14 more",43 years old
115,Manappuram Finan...,4.0,(3.3k Reviews),Public,74 years old,"Thrissur/Trichur,Kerala + 399 more",74 years old
116,D Mart,3.9,(2.6k Reviews),Private,23 years old,"Mumbai,Maharashtra + 167 more",23 years old
117,SBI Cards & Paym...,3.8,(2.6k Reviews),Government,25 years old,"Gurgaon/Gurugram,Haryana + 246 more",25 years old
118,BNY Mellon,4.2,(2.5k Reviews),Private,19 years old,"New York City,New York + 11 more",19 years old
119,Samsung,4.0,(7.3k Reviews),Public,85 years old,Seoul + 353 more,85 years old
120,Cummins,4.3,(3.1k Reviews),"Columbus,Indiana + 82 more",10k-50k Employees (India),61 years old,10k-50k Employees (India)
121,IQVIA,4.2,(2.6k Reviews),Partnership,41 years old,Durham + 37 more,41 years old
122,Fullerton India,4.2,(2.5k Reviews),Private,16 years old,Mumbai + 405 more,16 years old
123,Nagarro,4.5,(2.6k Reviews),Private,27 years old,"Munich,Bavaria + 32 more",27 years old
124,Viatris,4.3,(2.5k Reviews),"Canonsburg,Pennsylvania + 59 more",10k-50k Employees (India),62 years old,10k-50k Employees (India)
125,Aditya Birla Fas...,4.2,(3.2k Reviews),Private,8 years old,Mumbai + 197 more,8 years old
126,Amdocs,4.1,(2.4k Reviews),Private,41 years old,"Chesterfield,Missouri + 10 more",41 years old
127,BigBasket,4.2,(2.5k Reviews),Private,12 years old,"Bangalore,Karnataka + 84 more",12 years old
128,CBRE,4.3,(2.4k Reviews),Private,117 years old,"Los Angeles,California + 51 more",117 years old
129,Godrej & Boyce M...,3.9,(4.9k Reviews),Private,126 years old,"Mumbai,Maharashtra + 111 more",126 years old
130,Indiamart Interm...,3.7,(2.5k Reviews),Private,27 years old,"Noida,Uttar Pradesh + 109 more",27 years old
131,Bosch Global Sof...,4.2,(2.4k Reviews),Private,33 years old,Gerlingen + 22 more,33 years old
132,Royal Enfield,4.2,(2.4k Reviews),Private,122 years old,"Gurgaon/Gurugram,Haryana + 245 more",122 years old
133,Schneider Electr...,4.2,(3.9k Reviews),Private,24 years old,Paris + 87 more,24 years old
134,UST,4.0,(2.5k Reviews),Private,22 years old,"Aliso Viejo,California + 30 more",22 years old
135,Ford Motor,4.5,(2.8k Reviews),Public,120 years old,"Dearborn,Michigan + 103 more",120 years old
136,Equitas Small Fi...,4.2,(2.3k Reviews),Private,16 years old,"Chennai,Tamil Nadu + 295 more",16 years old
137,UnitedHealth,4.2,(4.5k Reviews),Private,46 years old,"Minnetonka,Minnesota + 12 more",46 years old
138,Whitehat jr,3.7,(2.3k Reviews),Private,5 years old,"Mumbai,Maharashtra + 45 more",5 years old
139,Dell,4.2,(3.7k Reviews),Private,39 years old,"Round Rock,Texas + 80 more",39 years old
140,State Bank of In...,3.8,(4.8k Reviews),"Mumbai,Maharashtra + 362 more",1 Lakh+ Employees (India),217 years old,1 Lakh+ Employees (India)
141,ICICI Lombard Ge...,3.9,(2.3k Reviews),Public,22 years old,"Mumbai,Maharashtra + 203 more",22 years old
142,Nagarjuna Constr...,4.1,(2.4k Reviews),Public,25 years old,"Hyderabad/Secunderabad,Telangana + 185 more",25 years old
143,JBM Group,4.0,(2.9k Reviews),Public,40 years old,"Gurgaon/Gurugram,Haryana + 70 more",40 years old
144,Ecom Express,4.2,(2.3k Reviews),Private,11 years old,"Gurgaon,Haryana + 488 more",11 years old
145,Bajaj Auto,4.0,(2.3k Reviews),Public,78 years old,"Pune,Maharashtra + 203 more",78 years old
146,Tata Communicati...,4.2,(3.1k Reviews),Public,37 years old,"Mumbai,Maharashtra + 83 more",37 years old
147,Muthoot Fincorp,4.0,(2.3k Reviews),Private,136 years old,"Trivandrum/Thiruvananthapuram,Kerala + 437 more",136 years old
148,John Deere,4.3,(2.5k Reviews),Private,22 years old,"Moline,Illinois + 96 more",22 years old
149,Muthoot Finance,3.6,(2.3k Reviews),Public,84 years old,"Kochi/Cochin,Kerala + 429 more",84 years old
150,Wipro Consumer ...,3.9,(2.9k Reviews),Private,78 years old,"Bangalore/Bengaluru,Karnataka + 71 more",78 years old
151,Dominos Pizza,4.1,(2.2k Reviews),Public,63 years old,"Ypsilanti,Michigan + 205 more",63 years old
152,GlobalLogic,4.0,(2.2k Reviews),Private,23 years old,"San Jose,California + 24 more",23 years old
153,Cholamandalam In...,4.2,(2.3k Reviews),Private,45 years old,"Chennai,Tamil Nadu + 491 more",45 years old
154,L&T Financial Se...,4.0,(2.2k Reviews),Public,29 years old,"Mumbai,Maharashtra + 390 more",29 years old
155,SBI Life Insuran...,3.8,(2.2k Reviews),Government,22 years old,"Mumbai,Maharashtra + 427 more",22 years old
156,Axis Direct,4.0,(2.2k Reviews),Private,12 years old,"San Mateo,California + 259 more",12 years old
157,Wipro Infotech,4.0,(2.2k Reviews),Private,78 years old,Bangalore + 112 more,78 years old
158,Capgemini Techno...,4.1,(2.2k Reviews),Bengaluru/Bangalore + 24 more,,,
159,Virtusa Consulti...,3.8,(2.3k Reviews),Private,27 years old,"Southborough,Massachusetts + 23 more",27 years old
160,KEC Internationa...,4.1,(2.2k Reviews),Public,78 years old,"Mumbai,Maharashtra + 210 more",78 years old
161,Hetero Drugs,3.9,(2.5k Reviews),Private,30 years old,"Hyderabad/Secunderabad,Telangana + 32 more",30 years old
162,Motherson Sumi S...,3.9,(3.6k Reviews),Public,37 years old,"Noida,Uttar Pradesh + 60 more",37 years old
163,LG Electronics,4.0,(2.2k Reviews),Public,65 years old,"Seoul,Seoul + 183 more",65 years old
164,Sodexo,4.1,(2.2k Reviews),Private,15 years old,Issy Les Moulineaux + 109 more,15 years old
165,Optum,4.1,(2.1k Reviews),Private,46 years old,Minnesota + 19 more,46 years old
166,Thermax,4.2,(2.4k Reviews),Public,43 years old,"Pune,Maharashtra + 129 more",43 years old
167,Abbott Healthcar...,4.1,(4.1k Reviews),Public,32 years old,"Illinois City,Illinois + 147 more",32 years old
168,Swiggy,4.1,(2.3k Reviews),Private,9 years old,"Bangalore,Karnataka + 138 more",9 years old
169,Intas Pharmaceut...,4.3,(2.1k Reviews),Private,23 years old,"Ahmedabad,Gujrat + 100 more",23 years old
170,Subros,4.0,(2.1k Reviews),Public,38 years old,"Noida,Uttar Pradesh + 34 more",38 years old
171,Macleods Pharmac...,3.9,(2.1k Reviews),Public,37 years old,"Mumbai,Maharashtra + 75 more",37 years old
172,Automatic Data P...,4.2,(2.1k Reviews),New Jersey + 12 more,5k-10k Employees (India),74 years old,5k-10k Employees (India)
173,Atos,3.8,(7k Reviews),Private,26 years old,"Vilnius,Vilniaus Apskritis + 32 more",26 years old
174,VE Commercial Ve...,4.0,(2k Reviews),Private,15 years old,"Gurgaon/Gurugram,Haryana + 104 more",15 years old
175,Hindustan Coca C...,4.4,(2k Reviews),Private,26 years old,Bangalore + 172 more,26 years old
176,Varun Beverages,4.0,(2k Reviews),Public,28 years old,"Gurgaon/Gurugram,Haryana + 199 more",28 years old
177,Piramal Capital ...,4.3,(2k Reviews),Mumbai + 236 more,5k-10k Employees (India),3 years old,5k-10k Employees (India)
178,Bel,4.2,(2k Reviews),Private,69 years old,"Bangalore/Bengaluru,Karnataka + 33 more",69 years old
179,L&T Technology S...,3.4,(2k Reviews),Public,11 years old,"Vadodara/Baroda,Gujarat + 24 more",11 years old
180,Pidilite Industr...,4.4,(2.1k Reviews),Public,64 years old,"Mumbai,Maharashtra + 184 more",64 years old
181,Randstad,4.1,(2k Reviews),Private,31 years old,"Chennai,Tamil Nadu + 200 more",31 years old
182,Cgi Group,4.2,(2k Reviews),Private,47 years old,"Montreal,Quebec + 13 more",47 years old
183,Indian Air Force,4.6,(1.9k Reviews),Private,91 years old,"New Delhi,Delhi + 100 more",91 years old
184,CMS IT Services,3.2,(1.9k Reviews),Private,9 years old,"Bangalore,Karnataka + 120 more",9 years old
185,CARS24,3.7,(2k Reviews),Private,8 years old,"Gurgaon,Haryana + 131 more",8 years old
186,American Express,4.4,(1.9k Reviews),Private,173 years old,"New York City,New York + 35 more",173 years old
187,Alembic Pharmace...,4.1,(1.9k Reviews),Public,116 years old,"Vadodara/Baroda,Gujrat + 110 more",116 years old
188,Gati kwe,4.1,(1.9k Reviews),Private,11 years old,"Hyderabad/Secunderabad,Telangana + 144 more",11 years old
189,NatWest Group,4.1,(2.1k Reviews),Government,10k-50k Employees (India),Gurgaon/Gurugram + 20 more,10k-50k Employees (India)
190,Alkem Laboratori...,4.0,(1.9k Reviews),Public,50 years old,"Mumbai,Maharashtra + 121 more",50 years old
191,Glenmark Pharmac...,4.1,(1.9k Reviews),Public,46 years old,"Mumbai,Maharashtra + 112 more",46 years old
192,Havells,4.2,(2.1k Reviews),Public,40 years old,"Noida,Uttar Pradesh + 131 more",40 years old
193,ABB Group,4.1,(1.9k Reviews),Public,22 years old,Zurich + 82 more,22 years old
194,Deutsche Bank,4.2,(2.1k Reviews),Private,153 years old,Frankfurt + 28 more,153 years old
195,Simplex Infrastr...,3.6,(2.1k Reviews),Public,99 years old,"Kolkata,West Bengal + 121 more",99 years old
196,Shoppers Stop,4.3,(1.9k Reviews),Public,32 years old,"Mumbai,Maharashtra + 55 more",32 years old
197,Honda Motorcycle...,4.2,(1.9k Reviews),Private,24 years old,"Gurgaon/Gurugram,Haryana + 168 more",24 years old
198,Ipca Laboratorie...,4.0,(1.9k Reviews),Public,74 years old,"Mumbai,Maharashtra + 96 more",74 years old
199,DTDC Express,3.9,(1.9k Reviews),Private,33 years old,"Bangalore/Bengaluru,Karnataka + 189 more",33 years old
200,Reliance Nippon ...,3.9,(1.9k Reviews),Private,23 years old,"Mumbai,Maharashtra + 384 more",23 years old
201,Wipro Enterprise...,3.9,(4.8k Reviews),Bangalore + 68 more,1 Lakh+ Employees (India),78 years old,1 Lakh+ Employees (India)
202,Arvind Group,4.1,(2.2k Reviews),Public,92 years old,"Ahmedabad,Gujrat + 120 more",92 years old
203,Muthoot Group,3.7,(4.5k Reviews),Public,136 years old,"Wedel,Schleswig-holstein + 326 more",136 years old
204,Suzlon Group,4.1,(1.9k Reviews),Public,28 years old,"Pune,Maharashtra + 86 more",28 years old
205,McDonald's,4.3,(1.9k Reviews),Private,68 years old,"Chicago,Illinois + 120 more",68 years old
206,Conduent,3.6,(1.8k Reviews),Private,6 years old,"Florham Park,New Jersey + 18 more",6 years old
207,DCB Bank,4.0,(1.8k Reviews),Private,93 years old,"Mumbai,Maharashtra + 243 more",93 years old
208,Hindalco Industr...,4.3,(1.9k Reviews),Public,65 years old,"Mumbai,Maharashtra + 66 more",65 years old
209,Standard Charter...,4.0,(3.5k Reviews),Private,54 years old,London + 56 more,54 years old
210,Indian Oil Corpo...,4.4,(2k Reviews),Private,64 years old,"Delhi/NCR,Delhi + 179 more",64 years old
211,Team Lease,4.0,(1.8k Reviews),Public,7 years old,"Bangalore/Bengaluru,Karnataka + 210 more",7 years old
212,KocharTech,4.4,(1.8k Reviews),Private,28 years old,"Gurgaon/Gurugram,Haryana + 19 more",28 years old
213,Maersk,4.4,(2.3k Reviews),Private,119 years old,Copenhagen + 22 more,119 years old
214,24/7 Customer,3.6,(1.8k Reviews),Private,23 years old,"San Jose,California + 21 more",23 years old
215,Vishal Mega Mart,3.9,(1.8k Reviews),Private,15 years old,"Ahmedabad,Gujrat + 252 more",15 years old
216,MRF Tyres,3.7,(2k Reviews),Public,77 years old,"Chennai,Tamil Nadu + 150 more",77 years old
217,Lava Internation...,4.2,(1.8k Reviews),Public,14 years old,"Noida,Uttar Pradesh + 196 more",14 years old
218,Ekart Logistics,4.2,(1.8k Reviews),Private,14 years old,"San Francisco,California + 404 more",14 years old
219,Bajaj Electrical...,4.1,(1.8k Reviews),Public,85 years old,"Mumbai,Maharashtra + 162 more",85 years old
220,Titan Company,4.4,(2.5k Reviews),Public,5 years old,"Mumbai,Maharashtra + 122 more",5 years old
221,Publicis Sapien...,3.7,(1.8k Reviews),Private,33 years old,"New York,New York + 14 more",33 years old
222,Bank of America,4.4,(2.9k Reviews),Private,25 years old,Charlotte + 22 more,25 years old
223,Huawei Technolog...,3.9,(1.7k Reviews),Private,21 years old,"Gurgaon/Gurugram,Haryana + 88 more",21 years old
224,Ceat Tyres,4.1,(1.8k Reviews),Public,65 years old,"Mumbai,Maharashtra + 92 more",65 years old
225,Tata AIA Life In...,4.0,(1.7k Reviews),Private,22 years old,"Mumbai,Maharashtra + 213 more",22 years old
226,Torrent Pharmace...,4.0,(1.7k Reviews),Public,52 years old,"Ahmedabad,Gujrat + 85 more",52 years old
227,Tractors and Far...,4.1,(1.7k Reviews),Public,63 years old,"Chennai,Tamil Nadu + 140 more",63 years old
228,ITC Infotech In...,3.6,(1.7k Reviews),Private,23 years old,"Bangalore/Bengaluru,Karnataka + 39 more",23 years old
229,Jindal Steel and...,4.0,(2k Reviews),Private,71 years old,"Delhi/NCR,New Delhi + 84 more",71 years old
230,RSPL Group,4.1,(1.7k Reviews),Private,36 years old,"Mumbai,Maharashtra + 146 more",36 years old
231,PNB MetLife,3.7,(1.7k Reviews),Private,22 years old,"Mumbai,Maharashtra + 246 more",22 years old
232,State Street Syn...,3.8,(1.7k Reviews),Private,19 years old,Mumbai + 12 more,19 years old
233,RBL Bank,3.8,(1.7k Reviews),Public,80 years old,"Mumbai,Maharashtra + 178 more",80 years old
234,ACC,4.0,(1.8k Reviews),Public,87 years old,"Mumbai,Maharashtra + 174 more",87 years old
235,Capita,3.9,(1.7k Reviews),Private,18 years old,"Indore,Madhya Pradesh + 16 more",18 years old
236,Future Retail,4.2,(4.2k Reviews),Public,36 years old,"San Francisco,California + 189 more",36 years old
237,IndiGo,3.5,(1.7k Reviews),Private,18 years old,"Boston,Massachusetts + 73 more",18 years old
238,Biocon Biologics...,4.0,(1.7k Reviews),Public,45 years old,"Bangalore/Bengaluru,Karnataka + 54 more",45 years old
239,Utkarsh Small Fi...,3.9,(1.7k Reviews),Public,14 years old,"Varanasi,Uttar Pradesh + 225 more",14 years old
240,Kotak Mahindara ...,3.9,(1.7k Reviews),Public,22 years old,"Mumbai,Maharashtra + 166 more",22 years old
241,HDFC Ergo Genera...,4.0,(1.7k Reviews),Public,21 years old,"Mumbai,Maharashtra + 181 more",21 years old
242,Berger Paints,3.7,(1.7k Reviews),Public,100 years old,"Kolkata,West Bengal + 185 more",100 years old
243,Dabur,4.1,(1.6k Reviews),Public,139 years old,"Ghaziabad,Uttar Pradesh + 197 more",139 years old
244,Apollo Tyres,4.2,(2k Reviews),Public,51 years old,"Gurgaon/Gurugram,Haryana + 126 more",51 years old
245,KPIT Technologie...,3.6,(1.6k Reviews),Public,33 years old,"Pune,Maharashtra + 21 more",33 years old
246,Aarti Industries,4.2,(1.6k Reviews),Public,48 years old,"Mumbai,Maharashtra + 34 more",48 years old
247,GeBBS Healthcare...,3.8,(1.6k Reviews),Private,18 years old,"Culver City,California + 11 more",18 years old
248,Persistent Syste...,4.1,(1.6k Reviews),Public,33 years old,"Pune,Maharashtra + 10 more",33 years old
249,Cogent E Service...,3.4,(1.6k Reviews),Private,19 years old,"Noida,Uttar Pradesh + 25 more",19 years old
250,Dilip Buildcon,4.0,(1.6k Reviews),Public,36 years old,"Bhopal,Madhya Pradesh + 140 more",36 years old
